impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K16-087922,A488655,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,8 YEARS,Neutered Male,Labrador Retriever,Black,03/02/2016 12:00:00 AM,Received on,39100 180TH AVE SE,AUBURN,WA,98092,KING COUNTY,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"39100 180TH AVE SE
AUBURN, WA 98092
(47.250206, -122.101729)","Received on: 2016-03-02<p></p> Found Near: 39100 180TH AVE SE, AUBURN WA 98092<p></p> Description: Black Neutered Male Labrador Retriever Dog<p></p> Age: 8 YEARS<p></p>"
K16-087921,A488656,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488656,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Male,Domestic Mediumhair,Black,03/02/2016 12:00:00 AM,Received on,20700 105TH PL SE,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488656,Image Copyright HLP Inc. 2016,"20700 105TH PL SE
KENT, WA 98031
(47.415923, -122.200216)","Received on: 2016-03-02<p></p> Found Near: 20700 105TH PL SE, KENT WA 98031<p></p> Description: Black Male Domestic Mediumhair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087920,A488654,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488654,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Male,Domestic Shorthair,Black,03/02/2016 12:00:00 AM,Received on,20700 105TH PL SE,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488654,Image Copyright HLP Inc. 2016,"20700 105TH PL SE
KENT, WA 98031
(47.415923, -122.200216)","Received on: 2016-03-02<p></p> Found Near: 20700 105TH PL SE, KENT WA 98031<p></p> Description: Black Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087907,A488621,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521163,LOST,Fat Cat,Cat,Over 1 year,Male,Domestic Shorthair,Unknown,03/01/2016 12:00:00 AM,Date Lost,12200 NE 169TH ST,BOTHELL,WA,98011,BOTHELL,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521163,Image Copyright HLP Inc. 2016,"12200 NE 169TH ST
BOTHELL, WA 98011
(47.750602, -122.177958)",Description: Very Large and big boned. Large head. White with brown and dark grey tabby patches.<p></p>Age: Over 1 year<p></p>Location Lost: 12233 NE 169th Street<p></p>Notes: We adopted him from the Shelter a few months ago. He is very large. 20lb. And very shy. I believe he was abused at his previous home. He has had some urinary problems so needs special care.<p></p>Lost Date: 03/16/2016<p></p>
K16-087912,A488628,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488628,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,8 YEARS,Female,Pomeranian,Black / Gray,03/01/2016 12:00:00 AM,Received on,22200 84TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488628,Image Copyright HLP Inc. 2016,"22200 84TH AVE S
KENT, WA 98032
(47.401666, -122.228015)","Received on: 2016-03-01<p></p> Found Near: 22200 84TH AVE S, KENT WA 98032<p></p> Description: Black / Gray Female Pomeranian Dog<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087909,A488623,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488623,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Female,Domestic Shorthair,Brn Tabby / White,03/01/2016 12:00:00 AM,Received on,,24415 64TH AVE S KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488623,Image Copyright HLP Inc. 2016,"24415 64TH AVE S KENT, WA 98032
(47.390601, -122.261321)","Received on: 2016-03-01<p></p> Found Near: 24400 64TH AVE S KENT WA 98032<p></p> Description: Brn Tabby / White Female Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087910,A488624,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488624,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Male,Domestic Mediumhair,Black / White,03/01/2016 12:00:00 AM,Received on,,24415 64TH AVE S KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488624,Image Copyright HLP Inc. 2016,"24415 64TH AVE S KENT, WA 98032
(47.390601, -122.261321)","Received on: 2016-03-01<p></p> Found Near: 24400 64TH AVE S KENT WA 98032<p></p> Description: Black / White Male Domestic Mediumhair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087914,A488631,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521358,LOST,Django,Dog,Under 1 year,Male,German Shepherd,Unknown,03/01/2016 12:00:00 AM,Date Lost,105TH & AURORA,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521358,Image Copyright HLP Inc. 2016,"105TH &amp; AURORA
",Description: <p></p>Age: Under 1 year<p></p>Location Lost: 105th &amp; Aurora<p></p>Notes: Has a purple spotted tongue and some white on his belly and tail<p></p>Lost Date: 03/01/2016<p></p>
K16-087913,A488629,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521224,LOST,Mazzy Star,Dog,Over 1 year,Female,Labrador Retriever,Unknown,03/01/2016 12:00:00 AM,Date Lost,112TH ST BETWEEN 12TH AND 14TH AVE SW,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521224,Image Copyright HLP Inc. 2016,"112TH ST BETWEEN 12TH AND 14TH AVE SW
(47.502848, -122.352461)","Description: Mazzy is a five year old yellow lab and has a brown leather Filson collar.  Her collar has my address, phone number, and her King County license tabs.  She is missing a top front tooth and has a scar on her right hock.<p></p>Age: Over 1 year<p></p>Location Lost: 112th st between 12th and 14th ave SW<p></p>Notes: <p></p>Lost Date: 03/01/2016<p></p>"
K16-087916,A488649,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521421,In Public Home,,Dog,Unknown,Female,Jack Russell Terrier,White,03/01/2016 12:00:00 AM,Date Found,4100 S 280TH ST,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521421,Image Copyright HLP Inc. 2016,"4100 S 280TH ST
AUBURN, WA 98001
(47.350658, -122.282345)",Description: She looks like a Jack Russell. Must show proof of ownership. Found near Vahalla Grade School.<p></p>Age: Unknown<p></p>Location Found: 4103 S 280th St<p></p>Notes: <p></p>Found Date: 03/01/2016<p></p>Finder Address:  Auburn Wa 98001
K16-087905,A488612,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488612,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,1 YEAR 6 MONTHS,Female,Border Collie / Pit Bull,Black / White,03/01/2016 12:00:00 AM,Received on,28800 38TH AVE S,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488612,Image Copyright HLP Inc. 2016,"28800 38TH AVE S
AUBURN, WA 98001
(47.343374, -122.285027)","Received on: 2016-03-01<p></p> Found Near: 28800 38TH AVE S, AUBURN WA 98001<p></p> Description: Black / White Female Border Collie / Pit Bull Dog<p></p> Age: 1 YEAR 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
