"['Black', 'Neutered Male', 'Labrador Retriever', 'Dead Dog']"
"['Black', 'Male', 'Domestic Mediumhair', 'Cat']"
"['Black', 'Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black / Gray', 'Female', 'Pomeranian', 'Dog']"
"['Brn Tabby / White', 'Female', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Male', 'Domestic Mediumhair', 'Cat']"
"['Unknown', 'Male', 'German Shepherd', 'Dog']"
"['Unknown', 'Female', 'Labrador Retriever', 'Dog']"
"['White', 'Female', 'Jack Russell Terrier', 'Dog']"
"['Black / White', 'Female', 'Border Collie / Pit Bull', 'Dog']"
"['Unknown', 'Male', 'Chihuahua - Smooth Coated', 'Dog']"
"['Tortie', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Brn Tabby', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['Brn Tabby', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black / Brown', 'Spayed Female', 'Miniature Pinscher', 'Dog']"
"['Tan / White', 'Male', 'Bulldog', 'Dog']"
"['Black', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'Beagle', 'Dog']"
"['Brn Tabby', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Male', 'Domestic Shorthair', 'Cat']"
"['Gray / White', 'Male', 'Domestic Mediumhair', 'Cat']"
"['Black / White', 'Male', 'Domestic Shorthair', 'Cat']"
"['Org Tabby / White', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Male', 'Domestic Shorthair', 'Cat']"
"['Br Brindle', 'Spayed Female', 'Pit Bull / Mix', 'Dog']"
"['Brn Tabby / White', 'Female', 'Domestic Shorthair', 'Cat']"
"['Gray Tabby', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Gray / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Chocolate / Tan', 'Neutered Male', 'Chihuahua - Smooth Coated / Mix', 'Dog']"
"['Black / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'American Shorthair', 'Cat']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['White / Black', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Gray / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Flame Pt', 'Neutered Male', 'Domestic Shorthair / Siamese', 'Cat']"
"['Chocolate / Tan', 'Neutered Male', 'Chihuahua - Smooth Coated / Mix', 'Dog']"
"['Flame Pt', 'Neutered Male', 'Domestic Shorthair / Siamese', 'Cat']"
"['Black', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['Unknown', 'Female', 'Boxer', 'Dog']"
"['White / Brown', 'Female', 'American Bulldog', 'Dog']"
"['Blue', 'Spayed Female', 'Russian Blue', 'Cat']"
"['White / Black', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Lynx Pt', 'Female', 'Domestic Longhair', 'Cat']"
"['White / Black', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Male', 'Labrador Retriever', 'Dog']"
"['Lynx Pt', 'Male', 'Domestic Longhair', 'Cat']"
"['Lynx Pt', 'Female', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Chihuahua - Smooth Coated', 'Dog']"
"['Unknown', '', 'Miniature Schnauzer', 'Dog']"
"['Unknown', 'Female', 'Nova Scotia Duck Tolling Retriever', 'Dog']"
"['Black / White', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Female', 'Chihuahua - Long Haired', 'Dog']"
"['Black', '', 'Domestic Mediumhair', 'Cat']"
"['Brn Tabby / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Cream', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['Gray', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Org Tabby / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Australian Shepherd', 'Dog']"
"['Gray', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
